Bat species,Bat family,Continent,Country,Reference,Link,,,,,,,,,,,,,,,,,,,,,
Mops condylurus,Molossidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/",https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Anoura caudifer,Phyllostomidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/",https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Artibeus obscurus,Phyllostomidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/",https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Artibeus planirostris,Phyllostomidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/",https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Mesophylla macconnelli,Phyllostomidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/",https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Sturnira erythromos,Phyllostomidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/",https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Cynopterus brachyotis,Pteropodidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/",https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Cynopterus horsfieldii,Pteropodidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/",https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Cynopterus sphinx,Pteropodidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/",https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Eidolon helvum,Pteropodidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/",https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Eonycteris spelaea,Pteropodidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/",https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Epomophorus gambianus,Pteropodidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/",https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Epomops franqueti,Pteropodidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/",https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Megaloglossus woermanni,Pteropodidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/",https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Micropteropus pusillus,Pteropodidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/",https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Myonycteris angolensis,Pteropodidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/",https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Pteropus giganteus,Pteropodidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/",https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Rousettus aegyptiacus,Pteropodidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/",https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Rousettus leschenaultii,Pteropodidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/",https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Rhinolophus affinis,Rhinolophidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/",https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Rhinolophus creaghi,Rhinolophidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/",https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Rhinolophus ferrumequinum,Rhinolophidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/",https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Rhinolophus sinicus,Rhinolophidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/",https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Myotis daubentonii,Vespertilionidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/",https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Myotis horsfieldii,Vespertilionidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/",https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Myotis ricketti,Vespertilionidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/",https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Pipistrellus coromandra,Vespertilionidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/",https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Pipistrellus hesperidus,Vespertilionidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/",https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Scotophilus kuhlii,Vespertilionidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/",https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Scotophilus nux,Vespertilionidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/",https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Tylonycteris pachypus,Vespertilionidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/",https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Hipposideros armiger,Hipposideridae,Asia,Thailand,"Ar Gouilh	2011 IGE https://doi.org/10.1016/j.meegid.2011.06.021",https://doi.org/10.1016/j.meegid.2011.06.021,,,,,,,,,,,,,,,,,,,,,
Hipposideros larvatus,Hipposideridae,Asia,Thailand,"Ar Gouilh	2011 IGE https://doi.org/10.1016/j.meegid.2011.06.021",https://doi.org/10.1016/j.meegid.2011.06.021,,,,,,,,,,,,,,,,,,,,,
Miniopterus schreibersii,Miniopteridae,Europe,"France, Spain",Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014,https://doi.org/10.1016/j.virol.2018.01.014,,,,,,,,,,,,,,,,,,,,,
Tadarida teniotis,Molossidae,Europe,Spain,Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014,https://doi.org/10.1016/j.virol.2018.01.014,,,,,,,,,,,,,,,,,,,,,
Rhinolophus euryale,Rhinolophidae,Africa,Morocco,Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014,https://doi.org/10.1016/j.virol.2018.01.014,,,,,,,,,,,,,,,,,,,,,
Rhinolophus ferrumequinum,Rhinolophidae,Europe,"France, Spain",Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014,https://doi.org/10.1016/j.virol.2018.01.014,,,,,,,,,,,,,,,,,,,,,
Eptesicus serotinus,Vespertilionidae,Europe,France,Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014,https://doi.org/10.1016/j.virol.2018.01.014,,,,,,,,,,,,,,,,,,,,,
Myotis capaccinii,Vespertilionidae,Europe,Spain,Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014,https://doi.org/10.1016/j.virol.2018.01.014,,,,,,,,,,,,,,,,,,,,,
Myotis daubentonii,Vespertilionidae,Europe,France,Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014,https://doi.org/10.1016/j.virol.2018.01.014,,,,,,,,,,,,,,,,,,,,,
Myotis myotis,Vespertilionidae,Europe,Spain,Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014,https://doi.org/10.1016/j.virol.2018.01.014,,,,,,,,,,,,,,,,,,,,,
Myotis nattereri,Vespertilionidae,Europe,France,Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014,https://doi.org/10.1016/j.virol.2018.01.014,,,,,,,,,,,,,,,,,,,,,
Myotis punicus,Vespertilionidae,Africa,"Morocco, Tunisia",Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014,https://doi.org/10.1016/j.virol.2018.01.014,,,,,,,,,,,,,,,,,,,,,
Cynomops abrasus,Molossidae,America,Brazil,Asano 2016 Virology Journal https://doi.org/10.1186/s12985-016-0569-4,https://doi.org/10.1186/s12985-016-0569-4,,,,,,,,,,,,,,,,,,,,,
Cynomops planirostris,Molossidae,America,Brazil,Asano 2016 Virology Journal https://doi.org/10.1186/s12985-016-0569-4,https://doi.org/10.1186/s12985-016-0569-4,,,,,,,,,,,,,,,,,,,,,
Desmodus rotundus,Phyllostomidae,America,Brazil,Asano 2016 Virology Journal https://doi.org/10.1186/s12985-016-0569-4,https://doi.org/10.1186/s12985-016-0569-4,,,,,,,,,,,,,,,,,,,,,
Glossophaga soricina,Phyllostomidae,America,Brazil,Asano 2016 Virology Journal https://doi.org/10.1186/s12985-016-0569-4,https://doi.org/10.1186/s12985-016-0569-4,,,,,,,,,,,,,,,,,,,,,
Myotis daubentonii,Vespertilionidae,Europe,UK,August 2012 VBZD https://doi.org/10.1089/vbz.2011.0829,https://doi.org/10.1089/vbz.2011.0829,,,,,,,,,,,,,,,,,,,,,
Myotis nattereri,Vespertilionidae,Europe,UK,August 2012 VBZD https://doi.org/10.1089/vbz.2011.0829,https://doi.org/10.1089/vbz.2011.0829,,,,,,,,,,,,,,,,,,,,,
Rhinolophus ferrumequinum,Rhinolophidae,Europe,Italy,Balboni 2011 Epidemiol Infect https://doi.org/10.1017/S0950268810001147,https://doi.org/10.1017/S0950268810001147,,,,,,,,,,,,,,,,,,,,,
Rhinolophus ferrumequinum,Rhinolophidae,Europe,Italy,Balboni 2012 The Scientific World Journal https://doi.org/10.1100/2012/989514,https://doi.org/10.1100/2012/989514,,,,,,,,,,,,,,,,,,,,,
Desmodus rotundus,Phyllostomidae,America,Peru,Bergner 2019 Mol Ecol https://doi.org/10.1111/mec.15250,https://doi.org/10.1111/mec.15250,,,,,,,,,,,,,,,,,,,,,
Desmodus rotundus,Phyllostomidae,America,Peru,Bergner 2020 Microbiology Resource Announcements https://doi.org/10.1128/MRA.00742-200,https://doi.org/10.1128/MRA.00742-200,,,,,,,,,,,,,,,,,,,,,
Scotophilus kuhlii,Vespertilionidae,Asia,Vietnam,Berto 2016 ZPH https://doi.org/10.1111/zph.12362,https://doi.org/10.1111/zph.12362,,,,,,,,,,,,,,,,,,,,,
Molossus molossus,Molossidae,America,Brazil,Bittar 2019 Microbial Ecology https://doi.org/10.1007/s00248-019-01391-x,https://doi.org/10.1007/s00248-019-01391-x,,,,,,,,,,,,,,,,,,,,,
Molossus rufus,Molossidae,America,Brazil,Bittar 2019 Microbial Ecology https://doi.org/10.1007/s00248-019-01391-x,https://doi.org/10.1007/s00248-019-01391-x,,,,,,,,,,,,,,,,,,,,,
Artibeus lituratus,Phyllostomidae,America,Brazil,Bittar 2019 Microbial Ecology https://doi.org/10.1007/s00248-019-01391-x,https://doi.org/10.1007/s00248-019-01391-x,,,,,,,,,,,,,,,,,,,,,
Glossophaga soricina,Phyllostomidae,America,Brazil,Bittar 2019 Microbial Ecology https://doi.org/10.1007/s00248-019-01391-x,https://doi.org/10.1007/s00248-019-01391-x,,,,,,,,,,,,,,,,,,,,,
Phyllostomus discolor,Phyllostomidae,America,Brazil,Bittar 2019 Microbial Ecology https://doi.org/10.1007/s00248-019-01391-x,https://doi.org/10.1007/s00248-019-01391-x,,,,,,,,,,,,,,,,,,,,,
Hipposideros cf. caffer,Hipposideridae,Africa,Zimbabwe,Bourgarel 2018 IGE https://doi.org/10.1016/j.meegid.2018.01.007,https://doi.org/10.1016/j.meegid.2018.01.007,,,,,,,,,,,,,,,,,,,,,
Desmodus rotundus,Phyllostomidae,America,Brazil,Brandao 2008 BJID https://doi.org/10.1590/S1413-86702008000600003,https://doi.org/10.1590/S1413-86702008000600003,,,,,,,,,,,,,,,,,,,,,
Carollia perspicillata,Phyllostomidae,America,Trinidad,Carrington 2008 EID https://dx.doi.org/10.3201%2Feid1412.080642,https://dx.doi.org/10.3201%2Feid1412.080642,,,,,,,,,,,,,,,,,,,,,
Glossophaga soricina,Phyllostomidae,America,Trinidad,Carrington 2008 EID https://dx.doi.org/10.3201%2Feid1412.080642,https://dx.doi.org/10.3201%2Feid1412.080642,,,,,,,,,,,,,,,,,,,,,
Hipposideros armiger,Hipposideridae,Asia,Taiwan,Chen 2016 ZPH https://doi.org/10.1111/zph.12271,https://doi.org/10.1111/zph.12271,,,,,,,,,,,,,,,,,,,,,
Miniopterus fuliginosus,Miniopteridae,Asia,Taiwan,Chen 2016 ZPH https://doi.org/10.1111/zph.12271,https://doi.org/10.1111/zph.12271,,,,,,,,,,,,,,,,,,,,,
Rhinolophus monoceros,Rhinolophidae,Asia,Taiwan,Chen 2016 ZPH https://doi.org/10.1111/zph.12271,https://doi.org/10.1111/zph.12271,,,,,,,,,,,,,,,,,,,,,
Kerivoula titania,Vespertilionidae,Asia,Taiwan,Chen 2016 ZPH https://doi.org/10.1111/zph.12271,https://doi.org/10.1111/zph.12271,,,,,,,,,,,,,,,,,,,,,
Murina recondita,Vespertilionidae,Asia,Taiwan,Chen 2016 ZPH https://doi.org/10.1111/zph.12271,https://doi.org/10.1111/zph.12271,,,,,,,,,,,,,,,,,,,,,
Myotis fimbriatus,Vespertilionidae,Asia,Taiwan,Chen 2016 ZPH https://doi.org/10.1111/zph.12271,https://doi.org/10.1111/zph.12271,,,,,,,,,,,,,,,,,,,,,
Myotis flavus,Vespertilionidae,Asia,Taiwan,Chen 2016 ZPH https://doi.org/10.1111/zph.12271,https://doi.org/10.1111/zph.12271,,,,,,,,,,,,,,,,,,,,,
Plecotus taivanus,Vespertilionidae,Asia,Taiwan,Chen 2016 ZPH https://doi.org/10.1111/zph.12271,https://doi.org/10.1111/zph.12271,,,,,,,,,,,,,,,,,,,,,
Scotophilus kuhlii,Vespertilionidae,Asia,Taiwan,Chen 2016 ZPH https://doi.org/10.1111/zph.12271,https://doi.org/10.1111/zph.12271,,,,,,,,,,,,,,,,,,,,,
Submyotodon latirostris,Vespertilionidae,Asia,Taiwan,Chen 2016 ZPH https://doi.org/10.1111/zph.12271,https://doi.org/10.1111/zph.12271,,,,,,,,,,,,,,,,,,,,,
Rhinolophus monoceros,Rhinolophidae,Asia,Taiwan,Chen 2018 Taiwan Veterinary Journal http://dx.doi.org/10.1142/S1682648518500063,http://dx.doi.org/10.1142/S1682648518500063,,,,,,,,,,,,,,,,,,,,,
Scotophilus kuhlii,Vespertilionidae,Asia,Taiwan,Chen 2018 Taiwan Veterinary Journal http://dx.doi.org/10.1142/S1682648518500063,http://dx.doi.org/10.1142/S1682648518500063,,,,,,,,,,,,,,,,,,,,,
Miniopterus magnater,Miniopteridae,Asia,China,Chu 2006 J Gen Virol https://doi.org/10.1099/vir.0.82203-0,https://doi.org/10.1099/vir.0.82203-0,,,,,,,,,,,,,,,,,,,,,
Miniopterus pusillus,Miniopteridae,Asia,China,Chu 2006 J Gen Virol https://doi.org/10.1099/vir.0.82203-0,https://doi.org/10.1099/vir.0.82203-0,,,,,,,,,,,,,,,,,,,,,
Miniopterus magnater,Miniopteridae,Asia,China,Chu 2008 J Gen Virol https://doi.org/10.1099/vir.0.83605-0,https://doi.org/10.1099/vir.0.83605-0,,,,,,,,,,,,,,,,,,,,,
Miniopterus pusillus,Miniopteridae,Asia,China,Chu 2008 J Gen Virol https://doi.org/10.1099/vir.0.83605-0,https://doi.org/10.1099/vir.0.83605-0,,,,,,,,,,,,,,,,,,,,,
Tadarida brasiliensis,Molossidae,America,Brazil,Cibulski 2021 Archives of Virology https://doi.org/10.1007/s00705-020-04825-x,https://doi.org/10.1007/s00705-020-04825-x,,,,,,,,,,,,,,,,,,,,,
Molossus currentium,Molossidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0,https://doi.org/10.1099/vir.0.054841-0,,,,,,,,,,,,,,,,,,,,,
Molossus rufus,Molossidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0,https://doi.org/10.1099/vir.0.054841-0,,,,,,,,,,,,,,,,,,,,,
Pteronotus parnellii,Mormoopidae,America,Costa Rica,Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0,https://doi.org/10.1099/vir.0.054841-0,,,,,,,,,,,,,,,,,,,,,
Anoura geoffroyi,Phyllostomidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0,https://doi.org/10.1099/vir.0.054841-0,,,,,,,,,,,,,,,,,,,,,
Artibeus jamaicensis,Phyllostomidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0,https://doi.org/10.1099/vir.0.054841-0,,,,,,,,,,,,,,,,,,,,,
Artibeus lituratus,Phyllostomidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0,https://doi.org/10.1099/vir.0.054841-0,,,,,,,,,,,,,,,,,,,,,
Carollia brevicauda,Phyllostomidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0,https://doi.org/10.1099/vir.0.054841-0,,,,,,,,,,,,,,,,,,,,,
Carollia perspicillata,Phyllostomidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0,https://doi.org/10.1099/vir.0.054841-0,,,,,,,,,,,,,,,,,,,,,
Phyllostomus discolor,Phyllostomidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0,https://doi.org/10.1099/vir.0.054841-0,,,,,,,,,,,,,,,,,,,,,
Neoromicia capensis,Vespertilionidae,Africa,South Africa,Corman 2014 J Virol https://doi.org/10.1128/JVI.01498-14,https://doi.org/10.1128/JVI.01498-14,,,,,,,,,,,,,,,,,,,,,
Hipposideros abae,Hipposideridae,Africa,Ghana,Corman 2015 J Virol https://doi.org/10.1128/JVI.01755-15,https://doi.org/10.1128/JVI.01755-15,,,,,,,,,,,,,,,,,,,,,
Hipposideros cf. ruber,Hipposideridae,Africa,Ghana,Corman 2015 J Virol https://doi.org/10.1128/JVI.01755-15,https://doi.org/10.1128/JVI.01755-15,,,,,,,,,,,,,,,,,,,,,
Rhinolophus hipposideros,Rhinolophidae,Europe,UK,Crook 2021 Scientific Reports https://doi.org/10.1038/s41598-021-94011-z,https://doi.org/10.1038/s41598-021-94011-z,,,,,,,,,,,,,,,,,,,,,
