Bat species,Bat family,Continent,Country,Reference,Link,,,,,,,,,,,,,,,,,,,,,
Hipposideros galeritus,Hipposideridae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Hipposideros pratti,Hipposideridae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Miniopterus fuliginosus,Miniopteridae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Miniopterus inflatus,Miniopteridae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Nyctinomops laticaudatus,Molossidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Tadarida brasiliensis,Molossidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Pteronotus parnellii,Mormoopidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Pteronotus personatus,Mormoopidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Artibeus jamaicensis,Phyllostomidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Artibeus lituratus,Phyllostomidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Artibeus phaeotis,Phyllostomidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Carollia perspicillata,Phyllostomidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Carollia sowelli,Phyllostomidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Glossophaga soricina,Phyllostomidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Lonchorhina aurita,Phyllostomidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Sturnira lilium,Phyllostomidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Dyacopterus spadiceus,Pteropodidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Megaerops niphanae,Pteropodidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Pteropus alecto,Pteropodidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Rousettus amplexicaudatus,Pteropodidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Rhinolophus clivosus,Rhinolophidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Rhinolophus rex,Rhinolophidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Rhinolophus shameli,Rhinolophidae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Triaenops afer,Rhinonycteridae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
Triaenops persicus,Rhinonycteridae,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam",Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012,https://doi.org/10.1093/ve/vex012,,,,,,,,,,,,,,,,,,,,,
