Bat species,Number of samples,Bat family,Continent,Country,Reference
Neoromicia isabella,2,Vespertilionidae,Africa,Guinea,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Neoromicia nana,39,Vespertilionidae,Africa,"Cameroon, DR Congo, Guinea, Ivory Coast, Republic of Congo, Sierra Leone, Tanzania, Uganda","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Neoromicia rendalli,13,Vespertilionidae,Africa,"DR Congo, Guinea, Sierra Leone","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Neoromicia roseveari,2,Vespertilionidae,Africa,Guinea,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Neoromicia somalica,5,Vespertilionidae,Africa,"Guinea, Ivory Coast, Sierra Leone","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Neoromicia tenuipinnis,28,Vespertilionidae,Africa,"Cameroon, Guinea, Republic of Congo, Rwanda","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Neoromicia zuluensis,1,Vespertilionidae,Africa,Rwanda,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Nyctalus plancyi,30,Vespertilionidae,Asia,China,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Nycticeinops schlieffeni,5,Vespertilionidae,Africa,"Cameroon, Tanzania","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Phoniscus atrox,1,Vespertilionidae,Asia,Malaysia,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Phoniscus jagorii,1,Vespertilionidae,Asia,Malaysia,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Pipistrellus abramus,10,Vespertilionidae,Asia,China,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Pipistrellus coromandra,43,Vespertilionidae,Asia,"Bangladesh, Cambodia, Lao PDR, Malaysia","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Pipistrellus crassulus,1,Vespertilionidae,Africa,Republic of Congo,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Pipistrellus hesperidus,14,Vespertilionidae,Africa,Uganda,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Pipistrellus inexspectatus,189,Vespertilionidae,Africa,"Cameroon, Senegal","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Pipistrellus javanicus,1,Vespertilionidae,Asia,Cambodia,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Pipistrellus kuhlii,186,Vespertilionidae,Asia,"Egypt, Jordan","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Pipistrellus nanulus,30,Vespertilionidae,Africa,"Cameroon, DR Congo, Guinea, Ivory Coast, Republic of Congo, Sierra Leone","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Pipistrellus paterculus,2,Vespertilionidae,Asia,"Cambodia, Lao PDR","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Pipistrellus pipistrellus,151,Vespertilionidae,Asia,China,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Pipistrellus rusticus,3,Vespertilionidae,Africa,"Cameroon, Sierra Leone","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Pipistrellus tenuis,4,Vespertilionidae,Asia,China,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Plecotus auritus,13,Vespertilionidae,Asia,China,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Rhogeessa io,2,Vespertilionidae,America,Bolivia,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Scotoecus albigula,8,Vespertilionidae,Africa,Uganda,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Scotoecus albofuscus,3,Vespertilionidae,Africa,Uganda,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Scotoecus hirundo,1,Vespertilionidae,Africa,Cameroon,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Scotomanes ornatus,2,Vespertilionidae,Asia,China,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Scotophilus dinganii,56,Vespertilionidae,Africa,"Cameroon, DR Congo, Ivory Coast, Kenya","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Scotophilus heathii,76,Vespertilionidae,Asia,"Bangladesh, China, Myanmar","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Scotophilus kuhlii,144973,Vespertilionidae,Asia,"Bangladesh, Cambodia, China, Lao PDR, Malaysia, Myanmar, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Scotophilus leucogaster,41,Vespertilionidae,Africa,"Cameroon, Guinea","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Scotophilus nux,4,Vespertilionidae,Africa,"Cameroon, Guinea","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Scotophilus viridis,53,Vespertilionidae,Africa,"Rwanda, Guinea, Ivory Coast, Rwanda, Sierra Leone","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Scotozous dormeri,1,Vespertilionidae,Asia,China,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Tylonycteris pachypus,289,Vespertilionidae,Asia,"Bangladesh, China, Malaysia","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Tylonycteris robustula,44,Vespertilionidae,Asia,"Bangladesh, Cambodia, China, Malaysia","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Vespertilio murinus,3,Vespertilionidae,Asia,China,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Vespertilio sinensis,39,Vespertilionidae,Asia,China,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Craseonycteris thonglongyai,21,Craseonycteridae,Asia,Thailand,"Ar Gouilh	2011 IGE https://doi.org/10.1016/j.meegid.2011.06.021"
Taphozous longimanus,217,Emballonuridae,Asia,Thailand,"Ar Gouilh	2011 IGE https://doi.org/10.1016/j.meegid.2011.06.021"
Aselliscus stoliczkanus,6,Hipposideridae,Asia,Thailand,"Ar Gouilh	2011 IGE https://doi.org/10.1016/j.meegid.2011.06.021"
Hipposideros armiger,90,Hipposideridae,Asia,Thailand,"Ar Gouilh	2011 IGE https://doi.org/10.1016/j.meegid.2011.06.021"
Hipposideros cineraceus,5,Hipposideridae,Asia,Thailand,"Ar Gouilh	2011 IGE https://doi.org/10.1016/j.meegid.2011.06.021"
Hipposideros halophyllus,6,Hipposideridae,Asia,Thailand,"Ar Gouilh	2011 IGE https://doi.org/10.1016/j.meegid.2011.06.021"
Hipposideros larvatus,148,Hipposideridae,Asia,Thailand,"Ar Gouilh	2011 IGE https://doi.org/10.1016/j.meegid.2011.06.021"
Hipposideros lekaguli,33,Hipposideridae,Asia,Thailand,"Ar Gouilh	2011 IGE https://doi.org/10.1016/j.meegid.2011.06.021"
Hipposideros lylei,8,Hipposideridae,Asia,Thailand,"Ar Gouilh	2011 IGE https://doi.org/10.1016/j.meegid.2011.06.021"
Hipposideros pomona,7,Hipposideridae,Asia,Thailand,"Ar Gouilh	2011 IGE https://doi.org/10.1016/j.meegid.2011.06.021"
Megaderma lyra,3,Megadermatidae,Asia,Thailand,"Ar Gouilh	2011 IGE https://doi.org/10.1016/j.meegid.2011.06.021"
Megaderma spasma,13,Megadermatidae,Asia,Thailand,"Ar Gouilh	2011 IGE https://doi.org/10.1016/j.meegid.2011.06.021"
Miniopterus schreibersii,6,Miniopteridae,Asia,Thailand,"Ar Gouilh	2011 IGE https://doi.org/10.1016/j.meegid.2011.06.021"
Eonycteris spelaea,3,Pteropodidae,Asia,Thailand,"Ar Gouilh	2011 IGE https://doi.org/10.1016/j.meegid.2011.06.021"
Rousettus leschenaultii,46,Pteropodidae,Asia,Thailand,"Ar Gouilh	2011 IGE https://doi.org/10.1016/j.meegid.2011.06.021"
Rhinolophus coelophyllus,12,Rhinolophidae,Asia,Thailand,"Ar Gouilh	2011 IGE https://doi.org/10.1016/j.meegid.2011.06.021"
Rhinolophus lepidus,5,Rhinolophidae,Asia,Thailand,"Ar Gouilh	2011 IGE https://doi.org/10.1016/j.meegid.2011.06.021"
Rhinolophus malayanus,9,Rhinolophidae,Asia,Thailand,"Ar Gouilh	2011 IGE https://doi.org/10.1016/j.meegid.2011.06.021"
Rhinolophus pearsonii,7,Rhinolophidae,Asia,Thailand,"Ar Gouilh	2011 IGE https://doi.org/10.1016/j.meegid.2011.06.021"
Rhinolophus stheno,1,Rhinolophidae,Asia,Thailand,"Ar Gouilh	2011 IGE https://doi.org/10.1016/j.meegid.2011.06.021"
Rhinolophus thomasi,3,Rhinolophidae,Asia,Thailand,"Ar Gouilh	2011 IGE https://doi.org/10.1016/j.meegid.2011.06.021"
Rhinolophus yunanensis,1,Rhinolophidae,Asia,Thailand,"Ar Gouilh	2011 IGE https://doi.org/10.1016/j.meegid.2011.06.021"
Myotis siligorensis,9,Vespertilionidae,Asia,Thailand,"Ar Gouilh	2011 IGE https://doi.org/10.1016/j.meegid.2011.06.021"
Miniopterus maghrebensis,7,Miniopteridae,Africa,Morocco,Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014
Miniopterus schreibersii,42,Miniopteridae,Europe,"France, Spain",Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014
Tadarida teniotis,8,Molossidae,Europe,Spain,Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014
Rhinolophus euryale,3,Rhinolophidae,Africa,Morocco,Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014
Rhinolophus ferrumequinum,939,Rhinolophidae,Europe,"France, Spain",Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014
Rhinolophus hipposideros,12,Rhinolophidae,Europe,France,Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014
Barbastella barbastellus,1,Vespertilionidae,Europe,France,Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014
Eptesicus isabellinus,2,Vespertilionidae,Africa,Tunisia,Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014
Eptesicus serotinus,5,Vespertilionidae,Europe,France,Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014
Hypsugo savii,1,Vespertilionidae,Europe,Spain,Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014
Myotis alcathoe,1,Vespertilionidae,Europe,France,Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014
Myotis bechsteinii,11,Vespertilionidae,Europe,France,Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014
Myotis blythii,8,Vespertilionidae,Europe,"France, Spain",Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014
Myotis capaccinii,15,Vespertilionidae,Europe,Spain,Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014
Myotis daubentonii,33,Vespertilionidae,Europe,France,Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014
Myotis emarginatus,19,Vespertilionidae,Europe,France,Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014
Myotis escalerai,15,Vespertilionidae,Europe,"France, Spain",Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014
Myotis myotis,230,Vespertilionidae,Europe,Spain,Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014
Myotis mystacinus,4,Vespertilionidae,Europe,France,Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014
Myotis nattereri,34,Vespertilionidae,Europe,France,Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014
Myotis punicus,11,Vespertilionidae,Africa,"Morocco, Tunisia",Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014
Nyctalus leisleri,4,Vespertilionidae,Europe,Spain,Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014
Pipistrellus kuhlii,3,Vespertilionidae,Europe,Spain,Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014
Pipistrellus pipistrellus,23,Vespertilionidae,Europe,"France, Spain",Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014
Pipistrellus pygmaeus,1,Vespertilionidae,Europe,France,Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014
Plecotus austriacus,3,Vespertilionidae,Europe,"France, Spain",Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014
Cynomops abrasus,11,Molossidae,America,Brazil,Asano 2016 Virology Journal https://doi.org/10.1186/s12985-016-0569-4
Cynomops planirostris,5,Molossidae,America,Brazil,Asano 2016 Virology Journal https://doi.org/10.1186/s12985-016-0569-4
Desmodus rotundus,41,Phyllostomidae,America,Brazil,Asano 2016 Virology Journal https://doi.org/10.1186/s12985-016-0569-4
Glossophaga soricina,33,Phyllostomidae,America,Brazil,Asano 2016 Virology Journal https://doi.org/10.1186/s12985-016-0569-4
Rhinolophus ferrumequinum,15,Rhinolophidae,Europe,UK,August 2012 VBZD https://doi.org/10.1089/vbz.2011.0829
Rhinolophus hipposideros,6,Rhinolophidae,Europe,UK,August 2012 VBZD https://doi.org/10.1089/vbz.2011.0829
Barbastella barbastellus,1,Vespertilionidae,Europe,UK,August 2012 VBZD https://doi.org/10.1089/vbz.2011.0829
Myotis daubentonii,30,Vespertilionidae,Europe,UK,August 2012 VBZD https://doi.org/10.1089/vbz.2011.0829
Myotis nattereri,32,Vespertilionidae,Europe,UK,August 2012 VBZD https://doi.org/10.1089/vbz.2011.0829
Pipistrellus pipistrellus,2,Vespertilionidae,Europe,UK,August 2012 VBZD https://doi.org/10.1089/vbz.2011.0829
Plecotus auritus,26,Vespertilionidae,Europe,UK,August 2012 VBZD https://doi.org/10.1089/vbz.2011.0829
Rhinolophus ferrumequinum,52,Rhinolophidae,Europe,Italy,Balboni 2011 Epidemiol Infect https://doi.org/10.1017/S0950268810001147
Rhinolophus ferrumequinum,45,Rhinolophidae,Europe,Italy,Balboni 2012 The Scientific World Journal https://doi.org/10.1100/2012/989514
Desmodus rotundus,Not reported,Phyllostomidae,America,Peru,Bergner 2019 Mol Ecol https://doi.org/10.1111/mec.15250
Desmodus rotundus,Not reported,Phyllostomidae,America,Peru,Bergner 2020 Microbiology Resource Announcements https://doi.org/10.1128/MRA.00742-200
Scotophilus kuhlii,248,Vespertilionidae,Asia,Vietnam,Berto 2016 ZPH https://doi.org/10.1111/zph.12362
Peropteryx leucoptera,1,Emballonuridae,America,Brazil,Bittar 2019 Microbial Ecology https://doi.org/10.1007/s00248-019-01391-x
Eumops glaucinus,2,Molossidae,America,Brazil,Bittar 2019 Microbial Ecology https://doi.org/10.1007/s00248-019-01391-x
Molossops temminckii,1,Molossidae,America,Brazil,Bittar 2019 Microbial Ecology https://doi.org/10.1007/s00248-019-01391-x
Molossus molossus,24,Molossidae,America,Brazil,Bittar 2019 Microbial Ecology https://doi.org/10.1007/s00248-019-01391-x
Molossus rufus,18,Molossidae,America,Brazil,Bittar 2019 Microbial Ecology https://doi.org/10.1007/s00248-019-01391-x
Nyctinomops laticaudatus,1,Molossidae,America,Brazil,Bittar 2019 Microbial Ecology https://doi.org/10.1007/s00248-019-01391-x
Artibeus lituratus,22,Phyllostomidae,America,Brazil,Bittar 2019 Microbial Ecology https://doi.org/10.1007/s00248-019-01391-x
Artibeus planirostris,12,Phyllostomidae,America,Brazil,Bittar 2019 Microbial Ecology https://doi.org/10.1007/s00248-019-01391-x
Carollia perspicillata,1,Phyllostomidae,America,Brazil,Bittar 2019 Microbial Ecology https://doi.org/10.1007/s00248-019-01391-x
Desmodus rotundus,1,Phyllostomidae,America,Brazil,Bittar 2019 Microbial Ecology https://doi.org/10.1007/s00248-019-01391-x
Diphylla ecaudata,2,Phyllostomidae,America,Brazil,Bittar 2019 Microbial Ecology https://doi.org/10.1007/s00248-019-01391-x
Glossophaga soricina,3,Phyllostomidae,America,Brazil,Bittar 2019 Microbial Ecology https://doi.org/10.1007/s00248-019-01391-x
Phyllostomus discolor,5,Phyllostomidae,America,Brazil,Bittar 2019 Microbial Ecology https://doi.org/10.1007/s00248-019-01391-x
Phyllostomus hastatus,1,Phyllostomidae,America,Brazil,Bittar 2019 Microbial Ecology https://doi.org/10.1007/s00248-019-01391-x
Platyrrhinus lineatus,1,Phyllostomidae,America,Brazil,Bittar 2019 Microbial Ecology https://doi.org/10.1007/s00248-019-01391-x
Sturnira lilium,1,Phyllostomidae,America,Brazil,Bittar 2019 Microbial Ecology https://doi.org/10.1007/s00248-019-01391-x
Vampyressa pusilla,2,Phyllostomidae,America,Brazil,Bittar 2019 Microbial Ecology https://doi.org/10.1007/s00248-019-01391-x
Eptesicus furinalis,3,Vespertilionidae,America,Brazil,Bittar 2019 Microbial Ecology https://doi.org/10.1007/s00248-019-01391-x
Hipposideros cf. caffer,Not reported,Hipposideridae,Africa,Zimbabwe,Bourgarel 2018 IGE https://doi.org/10.1016/j.meegid.2018.01.007
Desmodus rotundus,Not reported,Phyllostomidae,America,Brazil,Brandao 2008 BJID https://doi.org/10.1590/S1413-86702008000600003
Molossus major,25,Molossidae,America,Trinidad,Carrington 2008 EID https://dx.doi.org/10.3201%2Feid1412.080642
Pteronotus parnellii,31,Mormoopidae,America,Trinidad,Carrington 2008 EID https://dx.doi.org/10.3201%2Feid1412.080642
Noctilio leporinus,6,Noctilionidae,America,Trinidad,Carrington 2008 EID https://dx.doi.org/10.3201%2Feid1412.080642
Carollia perspicillata,5,Phyllostomidae,America,Trinidad,Carrington 2008 EID https://dx.doi.org/10.3201%2Feid1412.080642
Desmodus rotundus,14,Phyllostomidae,America,Trinidad,Carrington 2008 EID https://dx.doi.org/10.3201%2Feid1412.080642
Glossophaga soricina,21,Phyllostomidae,America,Trinidad,Carrington 2008 EID https://dx.doi.org/10.3201%2Feid1412.080642
Phyllostomus hastatus,11,Phyllostomidae,America,Trinidad,Carrington 2008 EID https://dx.doi.org/10.3201%2Feid1412.080642
Coelops frithii,1,Hipposideridae,Asia,Taiwan,Chen 2016 ZPH https://doi.org/10.1111/zph.12271
Hipposideros armiger,7,Hipposideridae,Asia,Taiwan,Chen 2016 ZPH https://doi.org/10.1111/zph.12271
Miniopterus fuliginosus,54,Miniopteridae,Asia,Taiwan,Chen 2016 ZPH https://doi.org/10.1111/zph.12271
Rhinolophus monoceros,50,Rhinolophidae,Asia,Taiwan,Chen 2016 ZPH https://doi.org/10.1111/zph.12271
Barbastella darjelingensis,2,Vespertilionidae,Asia,Taiwan,Chen 2016 ZPH https://doi.org/10.1111/zph.12271
Harpiola isodon,1,Vespertilionidae,Asia,Taiwan,Chen 2016 ZPH https://doi.org/10.1111/zph.12271
Kerivoula titania,10,Vespertilionidae,Asia,Taiwan,Chen 2016 ZPH https://doi.org/10.1111/zph.12271
Murina gracilis,2,Vespertilionidae,Asia,Taiwan,Chen 2016 ZPH https://doi.org/10.1111/zph.12271
Murina puta,17,Vespertilionidae,Asia,Taiwan,Chen 2016 ZPH https://doi.org/10.1111/zph.12271
Murina recondita,4,Vespertilionidae,Asia,Taiwan,Chen 2016 ZPH https://doi.org/10.1111/zph.12271
Myotis fimbriatus,22,Vespertilionidae,Asia,Taiwan,Chen 2016 ZPH https://doi.org/10.1111/zph.12271
Myotis formosus,30,Vespertilionidae,Asia,Taiwan,Chen 2016 ZPH https://doi.org/10.1111/zph.12271
Myotis laniger,2,Vespertilionidae,Asia,Taiwan,Chen 2016 ZPH https://doi.org/10.1111/zph.12271
Myotis rufoniger,2,Vespertilionidae,Asia,Taiwan,Chen 2016 ZPH https://doi.org/10.1111/zph.12271
Myotis secundus,9,Vespertilionidae,Asia,Taiwan,Chen 2016 ZPH https://doi.org/10.1111/zph.12271
Pipistrellus abramus,1,Vespertilionidae,Asia,Taiwan,Chen 2016 ZPH https://doi.org/10.1111/zph.12271
Pipistrellus montanus,3,Vespertilionidae,Asia,Taiwan,Chen 2016 ZPH https://doi.org/10.1111/zph.12271
Pipistrellus taiwanesis,3,Vespertilionidae,Asia,Taiwan,Chen 2016 ZPH https://doi.org/10.1111/zph.12271
Plecotus taivanus,7,Vespertilionidae,Asia,Taiwan,Chen 2016 ZPH https://doi.org/10.1111/zph.12271
Scotophilus kuhlii,82,Vespertilionidae,Asia,Taiwan,Chen 2016 ZPH https://doi.org/10.1111/zph.12271
Submyotodon latirostris,3,Vespertilionidae,Asia,Taiwan,Chen 2016 ZPH https://doi.org/10.1111/zph.12271
Miniopterus fuliginosus,18,Miniopteridae,Asia,Taiwan,Chen 2018 Taiwan Veterinary Journal http://dx.doi.org/10.1142/S1682648518500063
Rhinolophus monoceros,63,Rhinolophidae,Asia,Taiwan,Chen 2018 Taiwan Veterinary Journal http://dx.doi.org/10.1142/S1682648518500063
Scotophilus kuhlii,52,Vespertilionidae,Asia,Taiwan,Chen 2018 Taiwan Veterinary Journal http://dx.doi.org/10.1142/S1682648518500063
Miniopterus magnater,114,Miniopteridae,Asia,China,Chu 2006 J Gen Virol https://doi.org/10.1099/vir.0.82203-0
Miniopterus pusillus,22,Miniopteridae,Asia,China,Chu 2006 J Gen Virol https://doi.org/10.1099/vir.0.82203-0
Miniopterus magnater,Not reported,Miniopteridae,Asia,China,Chu 2008 Journal of General Virologyhttps://doi.org/10.1099/vir.0.83605-00
Miniopterus pusillus,Not reported,Miniopteridae,Asia,China,Chu 2008 Journal of General Virologyhttps://doi.org/10.1099/vir.0.83605-00
Tadarida brasiliensis,Not reported,Molossidae,America,Brazil,Cibulski 2021 Archives of Virology https://doi.org/10.1007/s00705-020-04825-x
Peropteryx kappleri,5,Emballonuridae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0
Rhynchonycteris naso,1,Emballonuridae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0
Saccopteryx bilineata,114,Emballonuridae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0
Saccopteryx leptura,1,Emballonuridae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0
Eumops maurus,1,Molossidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0
Molossus currentium,10,Molossidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0
Molossus molossus,2,Molossidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0
Molossus rufus,19,Molossidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0
Pteronotus parnellii,300,Mormoopidae,America,"Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0
Natalus lanatus,5,Natalidae,America,Costa Rica,Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0
Noctilio leporinus,1,Noctilionidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0
Anoura geoffroyi,101,Phyllostomidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0
Artibeus jamaicensis,363,Phyllostomidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0
Artibeus lituratus,54,Phyllostomidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0
Artibeus obscurus,2,Phyllostomidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0
Artibeus phaeotis,5,Phyllostomidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0
Artibeus watsoni,4,Phyllostomidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0
Carollia brevicauda,107,Phyllostomidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0
Carollia castanea,45,Phyllostomidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0
Carollia perspicillata,459,Phyllostomidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0
Chrotopterus auritus,1,Phyllostomidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0
Desmodus rotundus,30,Phyllostomidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0
Enchisthenes hartii,3,Phyllostomidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0
Glossophaga commissarisi,3,Phyllostomidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0
Glossophaga soricina,49,Phyllostomidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0
Lampronycteris brachyotis,2,Phyllostomidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0
Lonchophylla robusta,1,Phyllostomidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0
Lonchorhina aurita,1,Phyllostomidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0
Lophostoma brasiliense,2,Phyllostomidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0
Lophostoma silvicolum,27,Phyllostomidae,America,"Brazil, Costa Rica, Panama",Corman 2013 J Gen Virol https://doi.org/10.1099/vir.0.054841-0
