Bat species,Number of samples,Bat family,Continent,Country,Reference
Leptonycteris yerbabuenae,1,Phyllostomidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Lonchorhina aurita,1,Phyllostomidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Micronycteris microtis,1,Phyllostomidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Micronycteris schmidtorum,5,Phyllostomidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Mimon cozumelae,1,Phyllostomidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Phylloderma stenops,2,Phyllostomidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Phyllostomus discolor,2,Phyllostomidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Platyrrhinus helleri,16,Phyllostomidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Sturnira lilium,34,Phyllostomidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Sturnira ludovici,23,Phyllostomidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Tonatia saurophila,1,Phyllostomidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Trachops cirrhosus,2,Phyllostomidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Uroderma bilobatum,5,Phyllostomidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Bauerus dubiaquercus,18,Vespertilionidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Corynorhinus mexicanus,1,Vespertilionidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Eptesicus fuscus,3,Vespertilionidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Lasiurus intermedius,1,Vespertilionidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Myotis keaysi,2,Vespertilionidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Myotis nigricans,1,Vespertilionidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Myotis occultus,1,Vespertilionidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Myotis velifer,7,Vespertilionidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Pteropus medius,Not reported,Pteropodidae,Asia,Bangladesh,Anthony 2013 mBio https://doi.org/10.1128/mBio.00598-13
Pipistrellus cf. hesperidus,Not reported,Vespertilionidae,Africa,Uganda,Anthony 2017 mBio https://doi.org/10.1128/mBio.00373-17
Craseonycteris thonglongyai,81,Craseonycteridae,Asia,Myanmar,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Coleura afra,224,Emballonuridae,Africa,"Cameroon, Gabon, Sierra Leone, Tanzania, Uganda","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Cormura brevirostris,1,Emballonuridae,America,Brazil,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Emballonura monticola,7,Emballonuridae,Asia,Malaysia,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
